Title     : 锟斤拷�⊠是怎样炼成的——中文显示「⼊」门指南【柴知道】
Video ID  : zSstXi-j7Qc
URL       : https://www.youtube.com/watch?v=zSstXi-j7Qc
Language  : Chinese (zh)
Generated : No (manually created)
[13:26.57]  这就是灵异事件的由来
[13:29.20]  好了
[13:30.07]  这个关于文字显示和乱码的长长的故事
[13:32.72]  总算可以告一段落了
[13:34.32]  其实现在
[13:35.20]  乱码的情况已经比之前少了很多
[13:37.23]  随着 Unicode 这座现代的巴别塔
[13:39.01]  越盖越高
[13:40.30]  采用它的软件也越来越多
[13:42.17]  如今新版的 Windows 系统已经把
[13:43.70]  记事本的默认编码改成了 UTF-8
[13:46.45]  很多常用软件也做了一些应对
[13:48.40]  尽量避免乱码
[13:49.85]  但在地球各地
[13:51.05]  还存在很多老设备 老软件
[13:53.55]  你不知道里面装着什么样的字符集
[13:55.27]  用着哪些编码
[13:56.65]  每一次乱码
[13:57.50]  都是过去与现在
[13:58.67]  此处和彼处的隔空对撞
[14:00.62]  你就当它们是错综复杂的计算机技术发展史
[14:03.32]  给我们放的一朵朵大烟花吧
[14:06.37]  当然你如果特别烦乱码
[14:07.52]  觉得所有现有的解决方案都不够好
[14:09.42]  那其实也有别的解决方案
[14:10.40]  你应该记得吧
[14:10.87]  我们刚不是说了吗
[14:16.70]  这期视频做得真的很辛苦
[14:18.50]  我们努力用最简明的方式
[14:19.92]  来讲清跟字符集 乱码和编码有关的问题
[14:23.62]  因为内容很长
[14:24.82]  所以我们把整个文字版脚本
[14:26.47]  包括注释等
[14:27.40]  都放在了这份文档里
[14:28.65]  你可以慢慢阅读
[14:30.10]  受限于篇幅和整体逻辑
[14:31.95]  有一些有意思的知识点或者小故事
[14:34.35]  我们没法儿放进视频里
[14:36.00]  所以一并写到了这份文档中
[14:37.90]  有兴趣的话
[14:38.85]  可以关注我们
[14:39.70]  在后台回复「文字编码」
[14:41.15]  就可以获得这份文档
[14:42.45]  如果你觉得这期视频解答了你的一些疑惑
[14:45.65]  那欢迎给我们一个三连
[14:46.80]  点一个关注
[14:47.80]  支持我们继续做这样的视频
[14:49.15]  谢谢啦
