Title     : 别再问我什么是AI：10分钟速通AI黑话，这次终于能看懂AI新闻了【柴知道】
Video ID  : G4rBAWNYNsQ
URL       : https://www.youtube.com/watch?v=G4rBAWNYNsQ
Language  : Chinese (zh)
Generated : No (manually created)
[11:04.52]  我们会把这张图片提供给你
[11:07.24]  既然已经学会了
[11:08.16]  那让我们开始手搓一个大模型吧
[11:10.52]  开玩笑的我们哪会
[11:12.20]  不光不会手搓
[11:13.32]  甚至都无法把别人
[11:14.76]  手搓好的大模型装进电脑里
[11:17.44]  你可能会说
[11:18.48]  这不对吧
[11:19.48]  当时 DeepSeek R1 刚发布的时候
[11:21.24]  火爆到宕机
[11:22.48]  不是有很多人
[11:23.32]  教我们在电脑上部署大模型吗
[11:25.76]  实际上
[11:26.44]  我们的电脑根本跑不动满血模型
[11:29.08]  所以当时部署到电脑上的
[11:30.76]  都是所谓的“蒸馏模型”
[11:32.72]  你可以把它们理解成“高仿版”
[11:35.16]  比如这个模型的本质
[11:36.36]  是用阿里的 Qwen 32B 
[11:38.16]  这个参数较小的模型
[11:39.80]  去“学习”满血版 Deepseek R1 
[11:42.12]  671B 的输出结果
[11:43.68]  据此调整参数
[11:44.76]  做出一个“高仿”的 Deepseek R1
[11:47.04]  所以叫“蒸馏”
[11:48.40]  除了蒸馏模型外
[11:49.40]  你还能在大模型社区上
[11:51.12]  看到很多这样的“量化模型”
[11:53.40]  相当于是原版大模型的“压缩版”
[11:55.96]  因为它们就是把大模型中
[11:57.68]  精度极高的参数
[11:58.92]  转化为精度没那么高的参数
[12:01.04]  从而降低模型的体积和性能要求
[12:03.96]  很多个人电脑里部署的
[12:05.28]  都是这些压缩或高仿版的模型
[12:08.44]  讲到这里
[12:09.16]  这些乱七八糟的名词就差不多讲完了
[12:12.24]  我们也要多啰嗦一句
[12:13.48]  这期视频的部分思路
[12:14.60]  受到了前 OpenAI 的科学家
[12:16.16]  安德烈·卡帕斯（Andrej Karpathy）
[12:17.12]  在 YouTube 上这期
[12:18.04]  长达 3 个半小时的口播视频的启发
[12:20.80]  如果有条件有耐心的话
[12:22.24]  你也可以去学习一个
[12:24.12]  由于内容比较庞杂
[12:25.44]  我们还给大家整理了
[12:26.64]  一份简要的思路图
[12:28.08]  附带了各个名词的基础解释
[12:29.80]  供查阅参考
[12:31.08]  关注我们后台回复“AI名词解释“
[12:33.60]  即可获取
